date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
7/29/2020,Fort Collins,Chelsea Ridge,SW,Culex pipiens,1,CDC Light Trap,FC-037
7/29/2020,Fort Collins,737 Parliament,SE,Culex pipiens,10,CDC Light Trap,FC-054
7/29/2020,Fort Collins,737 Parliament,SE,Culex tarsalis,63,CDC Light Trap,FC-054
7/29/2020,Fort Collins,Registry Ridge,SW,Culex tarsalis,15,CDC Light Trap,FC-057
7/29/2020,Fort Collins,Water's Edge at Blue Mesa,SW,Culex tarsalis,12,CDC Light Trap,FC-062
7/29/2020,Fort Collins,Water's Edge at Blue Mesa,SW,Culex pipiens,3,CDC Light Trap,FC-062
7/29/2020,Fort Collins,5029 Crest Dr,SW,Culex tarsalis,5,CDC Light Trap,FC-068
7/29/2020,Fort Collins,Silvergate Rd,SW,Culex tarsalis,9,CDC Light Trap,FC-071
7/29/2020,Fort Collins,Silvergate Rd,SW,Culex pipiens,6,CDC Light Trap,FC-071
7/29/2020,Fort Collins,Kunz Ct. and Brook Dr. Gravid,SW,Culex pipiens,145,Gravid Trap,FC-089gr
7/29/2020,Fort Collins,Lopez Elementary,SW,Culex tarsalis,50,CDC Light Trap,FC-093
7/29/2020,Fort Collins,Lopez Elementary,SW,Culex pipiens,7,CDC Light Trap,FC-093
7/26/2020,Loveland,29th and Madison,LV,Culex tarsalis,34,CDC Light Trap,LV-004
7/26/2020,Loveland,29th and Madison,LV,Culex pipiens,1,CDC Light Trap,LV-004
7/26/2020,Loveland,Outlet Mall Apartments,LV,Culex tarsalis,32,CDC Light Trap,LV-066
7/26/2020,Loveland,Horseshoe Pennninsula,LV,Culex pipiens,1,CDC Light Trap,LV-069
7/26/2020,Loveland,Horseshoe Pennninsula,LV,Culex tarsalis,267,CDC Light Trap,LV-069
7/26/2020,Loveland,7 Lakes Park,LV,Culex tarsalis,83,CDC Light Trap,LV-078
7/26/2020,Loveland,7 Lakes Gravid,LV,Culex pipiens,21,Gravid Trap,LV-079gr
7/26/2020,Loveland,Harding and Reagan,LV,Culex tarsalis,73,CDC Light Trap,LV-080
7/26/2020,Loveland,2229 Arikaree,LV,Culex tarsalis,54,CDC Light Trap,LV-088
7/26/2020,Loveland,Pond at Silver Lake,LV,Culex pipiens,2,CDC Light Trap,LV-093
7/26/2020,Loveland,Pond at Silver Lake,LV,Culex tarsalis,29,CDC Light Trap,LV-093
7/26/2020,Loveland,Boyd Lake,LV,Culex tarsalis,134,CDC Light Trap,LV-095
7/26/2020,Loveland,Sundisk and 13E,LV,Culex tarsalis,3,CDC Light Trap,LV-116
7/26/2020,Loveland,Centerra,LV,Culex tarsalis,8,CDC Light Trap,LV-117
7/27/2020,Loveland,Jefferson and 11th,LV,Culex tarsalis,3,CDC Light Trap,LV-074
7/27/2020,Loveland,Jefferson And 11th Gravid,LV,Culex pipiens,4,Gravid Trap,LV-074gr
7/27/2020,Loveland,1105 East 1st Street,LV,Culex tarsalis,8,CDC Light Trap,LV-077
7/27/2020,Loveland,9th and DesMoines,LV,Culex tarsalis,80,CDC Light Trap,LV-089
7/27/2020,Loveland,Blue Tree Realty,LV,Culex tarsalis,41,CDC Light Trap,LV-100
7/27/2020,Loveland,Cr 20 and 9,LV,Culex pipiens,11,CDC Light Trap,LV-104
7/27/2020,Loveland,Cr 20 and 9,LV,Culex tarsalis,25,CDC Light Trap,LV-104
7/27/2020,Loveland,Big Thompson ,LV,Culex tarsalis,7,CDC Light Trap,LV-110
7/27/2020,Loveland,915 S Boise,LV,Culex pipiens,4,CDC Light Trap,LV-112
7/27/2020,Loveland,915 S Boise,LV,Culex tarsalis,16,CDC Light Trap,LV-112
7/27/2020,Loveland,Springs at Marianna,LV,Culex tarsalis,10,CDC Light Trap,LV-113
7/27/2020,Loveland,Golf Vista,LV,Culex tarsalis,18,CDC Light Trap,LV-118
7/27/2020,Loveland,Storage Yard and 2nd St,LV,Culex tarsalis,10,CDC Light Trap,LV-124
7/27/2020,Loveland,8th And No Name,LV,Culex pipiens,8,CDC Light Trap,LV-125
7/27/2020,Loveland,8th And No Name,LV,Culex tarsalis,62,CDC Light Trap,LV-125
7/28/2020,Loveland,Jocelyn and Eagle,LV,Culex tarsalis,6,CDC Light Trap,LV-019
7/28/2020,Loveland,Cattail Pond,LV,Culex pipiens,1,CDC Light Trap,LV-020
7/28/2020,Loveland,Cattail Pond,LV,Culex tarsalis,40,CDC Light Trap,LV-020
7/28/2020,Loveland,Linda and 26th ,LV,Culex tarsalis,8,CDC Light Trap,LV-021
7/28/2020,Loveland,2001 S Douglas,LV,Culex tarsalis,24,CDC Light Trap,LV-042
7/28/2020,Loveland,Del Norte Private Park,LV,Culex tarsalis,14,CDC Light Trap,LV-067
7/28/2020,Loveland,Derby Hill,LV,Culex tarsalis,18,CDC Light Trap,LV-087
7/28/2020,Loveland,Jill Drive Pond,LV,Culex tarsalis,11,CDC Light Trap,LV-114
7/28/2020,Loveland,End of City Limits North,LV,Culex tarsalis,11,CDC Light Trap,LV-120
7/29/2020,Loveland,Hendler Gravid,LV,Culex pipiens,6,Gravid Trap,LV-010gr
7/29/2020,Loveland,Estrella Park,LV,Culex tarsalis,4,CDC Light Trap,LV-014
7/29/2020,Loveland,Farasita at Rist Benson,LV,Culex tarsalis,18,CDC Light Trap,LV-097
7/29/2020,Loveland,Benson Sculpture Park,LV,Culex tarsalis,48,CDC Light Trap,LV-098
7/29/2020,Loveland,Cattails Golfcourse,LV,Culex tarsalis,7,CDC Light Trap,LV-099
7/29/2020,Loveland,Glen Isle Ditch,LV,Culex tarsalis,3,CDC Light Trap,LV-102
7/29/2020,Loveland,West 43rd Railroad,LV,Culex pipiens,4,CDC Light Trap,LV-105
7/29/2020,Loveland,West 43rd Railroad,LV,Culex tarsalis,68,CDC Light Trap,LV-105
7/29/2020,Loveland,Bayfield and Windsor,LV,Culex tarsalis,5,CDC Light Trap,LV-121
7/29/2020,Loveland,Fallgold,LV,Culex pipiens,2,CDC Light Trap,LV-122
7/29/2020,Loveland,Fallgold,LV,Culex tarsalis,26,CDC Light Trap,LV-122
7/26/2020,Timnath,Timnath - 5th and Kern,Timnath,Culex pipiens,10,CDC Light Trap,LC-010 
7/26/2020,Timnath,Timnath - 5th and Kern,Timnath,Culex tarsalis,117,CDC Light Trap,LC-010 
7/26/2020,Timnath,Timnath - Golf Course,Timnath,Culex pipiens,2,CDC Light Trap,LC-022 
7/26/2020,Timnath,Timnath - Golf Course,Timnath,Culex tarsalis,2,CDC Light Trap,LC-022 
7/26/2020,Timnath,Timnath - Summerfields,Timnath,Culex tarsalis,18,CDC Light Trap,LC-048 
7/26/2020,Timnath,Timnath - Wildwing,Timnath,Culex pipiens,16,CDC Light Trap,LC-050 
7/26/2020,Timnath,Timnath - Wildwing,Timnath,Culex tarsalis,14,CDC Light Trap,LC-050 
7/26/2020,Timnath,Timnath - Serratoga Falls,Timnath,Culex tarsalis,40,CDC Light Trap,LC-051 
7/26/2020,Timnath,Timnath - Serratoga Falls,Timnath,Culex pipiens,2,CDC Light Trap,LC-051 
7/26/2020,Timnath,Timnath - Walmart,Timnath,Culex pipiens,7,CDC Light Trap,LC-052 
7/26/2020,Timnath,Timnath - Walmart,Timnath,Culex tarsalis,123,CDC Light Trap,LC-052 
